"","predator","predator.sp.","Predator.size","Prey","prey.size","Trial.Started","Trial.stopped","eaten","predator.sp.lept","body","tail","predator.names","eaten.numeric","Prey.species"
"99","L150","","","1 Leech","","25/03/11","27/03/11","0","elongatum",7,3,"Leptagrion.elongatum",0,"Hirudinidae"
"100","L150","","","1 Scirtes B","","28/03/11","30/03/11","0","elongatum",7,3,"Leptagrion.elongatum",0,"Scirtes B"
"101","L190","","","1 Scirtes B","","28/03/11","30/03/11","0","elongatum",8,3,"Leptagrion.elongatum",0,"Scirtes B"
"102","L190","","","5 Ostracoda","","23/03/11","25/03/11","0","elongatum",8,3,"Leptagrion.elongatum",0,"Ostracod"
"103","L190","","(s)","1 Scirtes A","small","21/03/11","23/03/11","1","elongatum",8,3,"Leptagrion.elongatum",1,"Scirtes A"
"104","L190","","","1 Leech","","25/03/11","27/03/11","0","elongatum",8,3,"Leptagrion.elongatum",0,"Hirudinidae"
"105","L190","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","elongatum",8,3,"Leptagrion.elongatum",1,"Chironomus detriticula"
"106","L194","","","1 Leech","","25/03/11","27/03/11","1","elongatum",16,5,"Leptagrion.elongatum",1,"Hirudinidae"
"107","L194","","(l)","1 Scirtes A","small","21/03/11","23/03/11","1","elongatum",16,5,"Leptagrion.elongatum",1,"Scirtes A"
"108","L194","","","5 Ostracoda","","23/03/11","25/03/11","1","elongatum",16,5,"Leptagrion.elongatum",1,"Ostracod"
"109","L194","","","1 Scirtes B","","28/03/11","30/03/11","1","elongatum",16,5,"Leptagrion.elongatum",1,"Scirtes B"
"110","L194","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","elongatum",16,5,"Leptagrion.elongatum",1,"Chironomus detriticula"
"111","L195","","","1 Culex","","28/04/11","30/04/11","1","andromache",14,5,"Leptagrion.andromache",1,"Culex"
"112","L199","","","1 Trichoptera","","23/03/11","25/03/11","0","elongatum",8,3,"Leptagrion.elongatum",0,"Phylloicus bromeliarum"
"113","L199","","","1 Polypedilum 1","","28/03/11","30/03/11","1","elongatum",8,3,"Leptagrion.elongatum",1,"Polypedilum 1"
"114","L199","","","1 Monopelopia","","25/03/11","27/03/11","1","elongatum",8,3,"Leptagrion.elongatum",1,"Monopelopia"
"115","L199","","","1 Culex","","30/03/11","03/04/11","1","elongatum",8,3,"Leptagrion.elongatum",1,"Culex"
"116","L199","","(m)","1 Tipulid ","medium","21/03/11","23/03/11","1","elongatum",8,3,"Leptagrion.elongatum",1,"Tipulid"
"117","L200","","","5 Ostracoda","","23/03/11","25/03/11","0","elongatum",10,4,"Leptagrion.elongatum",0,"Ostracod"
"118","L200","","","1 Scirtes B","","28/03/11","30/03/11","1","elongatum",10,4,"Leptagrion.elongatum",1,"Scirtes B"
"119","L200","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","elongatum",10,4,"Leptagrion.elongatum",1,"Chironomus detriticula"
"120","L200","","","1 Leech","","25/03/11","27/03/11","0","elongatum",10,4,"Leptagrion.elongatum",0,"Hirudinidae"
"121","L200","","","1 Scirtes A","small","21/03/11","23/03/11","0","elongatum",10,4,"Leptagrion.elongatum",0,"Scirtes A"
"122","L201","","(l)","1 Tipulid ","large","21/03/11","23/03/11","1","elongatum",12,5,"Leptagrion.elongatum",1,"Tipulid"
"123","L201","","","1 Polypedilum 1","","28/03/11","30/03/11","1","elongatum",12,5,"Leptagrion.elongatum",1,"Polypedilum 1"
"124","L201","","","1 Culex","","30/03/11","03/04/11","0","elongatum",12,5,"Leptagrion.elongatum",0,"Culex"
