"Number","Sp. ","Date","Measuring (body)","Measuring (tail)","Comments","Who used","sp.ID","species","date caught","Length.body (mm)","Length.tail (mm)","number of tails","status","notes"
"L47","elongatum",,16.0,,,"Andrew",,,,,,,,
"L48","sp.B.tan",,12.0,,,"alive",,,,,,,,
"L49","NA",,"NA",,,"alive",,,,,,,,
"L50","sp.B.tan",,14.0,,,"alive",,,,,,,,
"L51","sp.B.tan",,8.0,,,"alive",,,,,,,,
"L52","elongatum",,16.0,,,"Andrew",,,,,,,,
"L53","elongatum",11/02/11,10.0,,,"alive",,,,,,,,
"L54","elongatum",,14.0,,,"Andrew",,,,,,,,
"L55","elongatum",,15.0,,,"Andrew",,,,,,,,
"L56","elongatum",,20.0,,,"dead",,,,,,,,
"L57","elongatum",,9.0,,,"Andrew",,,,,,,,
"L58","elongatum",,9.0,,,"Andrew",,,,,,,,
"L59","elongatum","9 feb",8.0,,,"alive",,,,,,,,
"L60","elongatum","11 feb",17.0,,,"alive",,,,,,,,
"L61","elongatum","12 feb ",15.0,,,"alive",,,,,,,,
"L62","andromache",,9.0,,,"alive",,,,,,,,
"L63","elongatum",,7,3,,"alive",,,,,,,,
"L64","andromache",,10.5,,,"Andrew",,,,,,,,
"L65","elongatum",,6.0,,,"alive",,,,,,,,
"L66","sp.B.tan",,7.0,,,"alive",,,,,,,,
"L67","elongatum",,6.5,,"just one tail","alive",,,,,,,,
"L68","elongatum",,16.0,,,"Andrew",,,,,,,,
"L69","elongatum",,9.0,,,"Andrew",,,,,,,,
"L70","elongatum",,6.5,,,"alive",,,,,,,,
"L71","elongatum",,7.0,,,"alive",,,,,,,,
"L72","andromache",,13.0,,,"Andrew",,,,,,,,
"L73","elongatum",,8.5,,,"alive",,,,,,,,
"L74","elongatum",,5.0,,,"alive",,,,,,,,
"L75","elongatum",,7.0,,,"alive",,,,,,,,
"L76","andromache",,16.0,,,"Andrew",,,,,,,,
"L77","elongatum",,9.5,,,"Andrew",,,,,,,,
"L78","elongatum",,9.0,,,"Andrew",,,,,,,,
"L79","andromache",,10.5,,,"Andrew",,,,,,,,
"L80","elongatum",,11.0,,,"Andrew",,,,,,,,
"L81","elongatum",,13.0,,,"alive",,,,,,,,
"L82","elongatum",,10.0,,,"Andrew",,,,,,,,
"L83","andromache",,10.0,,,"Andrew",,,,,,,,
"L84","elongatum",,16.0,,,"alive",,,,,,,,
"L85","andromache",,12.0,,,"Andrew",,,,,,,,
"L86","elongatum",,16.0,,,"Andrew",,,,,,,,
"L87","elongatum",,16.0,,,"Andrew",,,,,,,,
"L88","elongatum",,16.0,,,"Andrew",,,,,,,,
"L89","andromache",,10.5,,,"alive",,,,,,,,
"L90","andromache","20-21 feb",10,4,"just one tail",,,,,,,,,
"L91","elongatum","20 feb",7.5,2.5,"Ok","Andrew",,,,,,,,
"L92","tan","21 feb",14,3,"one tail less",,,,,,,,,
"L93","tan","21 feb",10,3,"ok",,,,,,,,,
"L94","andromache","21 feb",10,2,"ok",,,,,,,,,
"L95","andromache","21 feb",9,,"no tails",,,,,,,,,
"L96","andromache","22 feb",10,3,"one tail and one leg less",,,,,,,,,
"L97","andromache","22 feb",14,5,"ok",,,,,,,,,
"L98","andromache","22 feb",13,5,"ok",,,,,,,,,
"L99","andromache","22 feb",15,4,"ok",,,,,,,,,
"L100","andromache","23 feb",8,2,"one tail less",,,,,,,,,
"L101","andromache","22 feb",7,3,"ok",,,,,,,,,
"L102","andromache","23 feb",10,4,"ok",,,,,,,,,
"L103","andromache","23 feb",11,4,"ok",,,,,,,,,
"L104","elongatum","23 feb",15,5,"ok","Andrew",,,,,,,,
"L105","elongatum","23 feb",15,5,"just one tail","Andrew",,,,,,,,
"L106","elongatum","23 feb",14,4,"one tail less","Andrew",,,,,,,,
"L107","elongatum","23 feb",10,4,"ok","Andrew",,,,,,,,
"L108","tan","22 feb",12,3,"one tail less",,,,,,,,,
"L109","elongatum","23 feb",13,4,"without tails",,,,,,,,,
"L110","andromache","23 feb",15,5,"ok",,,,,,,,,
"L111","andromache","23 feb",11,4,"one tail less",,,,,,,,,
"L112","andromache","23 feb",7,3,"ok",,,,,,,,,
"L113","andromache","23 feb",7,3,"ok",,,,,,,,,
"L114","andromache","24 feb",9,3,"ok",,,,,,,,,
"L115","elongatum","24 feb",15,5,"ok","Robin",,,,,,,,
"L116","elongatum","25 feb",9,3,"ok","Andrew",,,,,,,,
"L117","andromache","25 feb",7.5,,"without tails",,,,,,,,,
"L118","andromache","25 feb",8,,"without tails",,,,,,,,,
"L119","elongatum","25 feb",14,4,"ok","Andrew",,,,,,,,
"L120","andromache","26 feb",14,4,"ok",,,,,,,,,
"L121","elongatum","26 feb",9,3,"just one tail",,,,,,,,,
"L122","andromache","26 feb",10,4,"ok",,,,,,,,,
"L123","andromache","26 feb",17,5,"ok",,,,,,,,,
"L124","andromache","26 feb",13,5,"ok",,,,,,,,,
"L125","elongatum","26 feb",16,5,"ok","Andrew",,,,,,,,
"L126","andromache","27 feb",9,4,"just one tail",,,,,,,,,
"L127","elongatum","27 feb",18,6,"ok","Andrew",,,,,,,,
"L128","elongatum","?",8,3.5,"ok","Andrew",,,,,,,,
"L129","elongatum","27 feb",7,3,"ok",,,,,,,,,
"L130","andromache","27 feb",9,3.5,"ok",,,,,,,,,
"L131","andromache","27 feb",7,2.5,"ok",,,,,,,,,
"L132","andromache","27 feb",6,2,"ok",,,,,,,,,
"L133","andromache","27 feb",8,3,"ok",,,,,,,,,
"L134","elongatum","24 feb",15,4,"just one tail","Andrew",,,,,,,,
"L135","elongatum","27 feb",9,3.5,"ok","Andrew",,,,,,,,
"L136","elongatum","27 feb",16,5,"ok","Andrew",,,,,,,,
"L137","elongatum",01-Mar,16,5,"ok","Andrew",,,,,,,,
"L138","andromache",01-Mar,6,2,"one tail less",,,,,,,,,
"L139","andromache",01-Mar,9,3,"ok","Andrew",,,,,,,,
"L140","andromache","22 feb",13,3,"ok",,,,,,,,,
"L141","elongatum",02-Mar,15.5,4,"ok","Andrew",,,,,,,,
"L142","andromache",02-Mar,12,4,"ok","Andrew",,,,,,,,
"L143","elongatum",02-Mar,16,5,"ok","Andrew",,,,,,,,
"L144","andromache",02-Mar,7,3,"ok","Alathea",,,,,,,,
"L145","andromache",02-Mar,11,4,"ok","Andrew",,,,,,,,
"L146","andromache",03-Mar,11,4,"ok","Andrew",,,,,,,,
"L147","andromache",03-Mar,10,3.5,"ok","Andrew",,,,,,,,
