"phylopred1","phylopred2","phylodistance","L_or_R","species_pair"
"Bezzia.sp1","Hirudinidae",1122,"pairs_RH","Bezzia.sp1_Hirudinidae"
"Corethrella","Hirudinidae",1122,"pairs_RH","Corethrella_Hirudinidae"
"Dolichopodidae","Hirudinidae",1122,"pairs_RH","Dolichopodidae_Hirudinidae"
"Empididae.sp2","Hirudinidae",1122,"pairs_RH","Empididae.sp2_Hirudinidae"
"Empididae.sp1","Hirudinidae",1122,"pairs_RH","Empididae.sp1_Hirudinidae"
"Tabanidae.spA","Hirudinidae",1122,"pairs_RH","Tabanidae.spA_Hirudinidae"
"Tabanidae.spB","Hirudinidae",1122,"pairs_RH","Tabanidae.spB_Hirudinidae"
"Tabanidae.spC","Hirudinidae",1122,"pairs_RH","Tabanidae.spC_Hirudinidae"
"Leptagrion.andromache","Leptagrion.tan",30,"pairs_LH","Leptagrion.tan_Leptagrion.andromache"
"Leptagrion.andromache","Leptagrion.elongatum",30,"pairs_LH","Leptagrion.elongatum_Leptagrion.andromache"
"Leptagrion.tan","Leptagrion.elongatum",30,"pairs_LH","Leptagrion.elongatum_Leptagrion.tan"
"Leptagrion.andromache","Monopelopia",761.5,"pairs_LH","Monopelopia_Leptagrion.andromache"
"Leptagrion.tan","Monopelopia",761.5,"pairs_LH","Monopelopia_Leptagrion.tan"
"Leptagrion.elongatum","Monopelopia",761.5,"pairs_LH","Monopelopia_Leptagrion.elongatum"
"Leptagrion.andromache","Bezzia.sp2",761.5,"pairs_LH","Bezzia.sp2_Leptagrion.andromache"
"Leptagrion.tan","Bezzia.sp2",761.5,"pairs_LH","Bezzia.sp2_Leptagrion.tan"
"Leptagrion.elongatum","Bezzia.sp2",761.5,"pairs_LH","Bezzia.sp2_Leptagrion.elongatum"
"Monopelopia","Bezzia.sp2",426,"pairs_LH","Bezzia.sp2_Monopelopia"
"Leptagrion.andromache","Bezzia.sp1",761.5,"pairs_LH","Bezzia.sp1_Leptagrion.andromache"
"Leptagrion.tan","Bezzia.sp1",761.5,"pairs_LH","Bezzia.sp1_Leptagrion.tan"
"Leptagrion.elongatum","Bezzia.sp1",761.5,"pairs_LH","Bezzia.sp1_Leptagrion.elongatum"
"Monopelopia","Bezzia.sp1",426,"pairs_LH","Bezzia.sp1_Monopelopia"
"Bezzia.sp2","Bezzia.sp1",30,"pairs_LH","Bezzia.sp1_Bezzia.sp2"
"Leptagrion.andromache","Corethrella",761.5,"pairs_LH","Corethrella_Leptagrion.andromache"
"Leptagrion.tan","Corethrella",761.5,"pairs_LH","Corethrella_Leptagrion.tan"
"Leptagrion.elongatum","Corethrella",761.5,"pairs_LH","Corethrella_Leptagrion.elongatum"
"Monopelopia","Corethrella",440,"pairs_LH","Corethrella_Monopelopia"
"Bezzia.sp2","Corethrella",440,"pairs_LH","Corethrella_Bezzia.sp2"
"Bezzia.sp1","Corethrella",440,"pairs_LH","Corethrella_Bezzia.sp1"
"Leptagrion.andromache","Dolichopodidae",761.5,"pairs_LH","Dolichopodidae_Leptagrion.andromache"
"Leptagrion.tan","Dolichopodidae",761.5,"pairs_LH","Dolichopodidae_Leptagrion.tan"
"Leptagrion.elongatum","Dolichopodidae",761.5,"pairs_LH","Dolichopodidae_Leptagrion.elongatum"
"Monopelopia","Dolichopodidae",530.4,"pairs_LH","Dolichopodidae_Monopelopia"
"Bezzia.sp2","Dolichopodidae",530.4,"pairs_LH","Dolichopodidae_Bezzia.sp2"
"Bezzia.sp1","Dolichopodidae",530.4,"pairs_LH","Dolichopodidae_Bezzia.sp1"
"Corethrella","Dolichopodidae",530.4,"pairs_LH","Dolichopodidae_Corethrella"
"Leptagrion.andromache","Empididae.sp2",761.5,"pairs_LH","Empididae.sp2_Leptagrion.andromache"
"Leptagrion.tan","Empididae.sp2",761.5,"pairs_LH","Empididae.sp2_Leptagrion.tan"
"Leptagrion.elongatum","Empididae.sp2",761.5,"pairs_LH","Empididae.sp2_Leptagrion.elongatum"
"Monopelopia","Empididae.sp2",530.4,"pairs_LH","Empididae.sp2_Monopelopia"
"Bezzia.sp2","Empididae.sp2",530.4,"pairs_LH","Empididae.sp2_Bezzia.sp2"
"Bezzia.sp1","Empididae.sp2",530.4,"pairs_LH","Empididae.sp2_Bezzia.sp1"
"Corethrella","Empididae.sp2",530.4,"pairs_LH","Empididae.sp2_Corethrella"
"Dolichopodidae","Empididae.sp2",172,"pairs_LH","Empididae.sp2_Dolichopodidae"
"Leptagrion.andromache","Empididae.sp1",761.5,"pairs_LH","Empididae.sp1_Leptagrion.andromache"
"Leptagrion.tan","Empididae.sp1",761.5,"pairs_LH","Empididae.sp1_Leptagrion.tan"
"Leptagrion.elongatum","Empididae.sp1",761.5,"pairs_LH","Empididae.sp1_Leptagrion.elongatum"
