Taxa	original_name	Biomass.avg.sp	Brom 3	Brom 46	Brom 95	Brom 102	Brom 16	Brom 48	Brom 85	Brom 64	Brom 82	Brom 77	Brom 7	Brom 1	Brom 4	Brom 53	Brom 40	Brom 79	Brom A	Brom B	Brom C	Brom D	Brom E	Brom F	Brom G	Brom H	Brom I	
Corethrellidae sp D	Corethrellidae sp D	6E-05	0	0	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Phoniomyia spp. (lumped P. edwardsi, P. mulhensi, P. theobaldi, Culicidae sp. A + F)	Culicidae sp A (hairy siphon)	4E-05	1	0	0	0	0	0	0	2	0	0	1	2	5	0	1	0	0	0	0	0	0	1	0	0	0	# larvae
Phoniomyia spp. (lumped P. edwardsi, P. mulhensi, P. theobaldi, Culicidae sp. A + F)	Culicidae sp A (hairy siphon)	4E-05	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	# pupae
Culex (Microculex) spp.	Culicidae sp B/C/D/E/G/H/I (taxonomist unable to resolve further)	4E-05	2	2	0	5	3	20	0	12	0	0	1	11	27	0	5	9	0	1	2	0	2	17	0	1	0	# larvae
Culex (Microculex) spp.	Culicidae sp B/C/D/E/G/H/I (taxonomist unable to resolve further)	4E-05	0	0	0	0	0	9	0	2	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	# pupae
Wyeomyia spp.	Culicidae sp J(yellow-silver, reddish setae)	4E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	11	2	6	# larvae
Wyeomyia spp.	Culicidae sp J(yellow-silver, reddish setae)	4E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	# pupae
Aedes albopictus	Culicidae sp K (blue, fringed siphon)	4E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	#
Dasyhelea sp.	Dasyhelea (?)	0.0001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	21	1	0	0	#
Muscomorpha sp. 1	Diptera sp A (frilled oval)	8.4E-05	4	1	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	1	1	0	0	0	0	0	#
Ephydridae sp. 1	Diptera sp B (orange stretchy)	8.4E-05	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	1	0	4	0	0	0	# larvae
Ephydridae sp. 1	Diptera sp B (orange stretchy)	8.4E-05	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# pupae
Ephydridae sp. 2	Diptera sp C (white harness)	8.4E-05	0	2	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	#
Empididae sp. 1	Diptera sp D (caudal setae)	8.4E-05	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	5	1	0	0	0	0	0	0	0	0	#
Empididae sp 2 (a few Muscidae sp mixed in)	Diptera sp F	8.4E-05	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	#
Dolichopodidae sp.	Diptera sp G (hybrid)	0.0010102878	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
?Drosophilidae sp. A	Diptera sp H (penguin)	8.4E-05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Olbiogaster sp.	Diptera sp I (pinhead)	8.4E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	# 1.1 cm
Tabanidae sp. (=Diptera sp J)	Diptera sp J (dark yellow)	0.0097	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Cecidomyiadae sp 1 (a few Empididae sp 3 mixed in)	Diptera sp K (bright + orange)	8.4E-05	0	0	0	0	0	0	0	3	1	1	0	3	2	0	2	1	0	0	0	0	0	1	0	0	0	#
Tipulidae sp. (=Diptera sp L)	Diptera sp L	0.0010102878	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	#
