"bromeliad","leaf.no","leaf.ID","length","width","final.length","final.width",
19,2,"19.2",16.1,,21.6,,
19,3,"19.3",21.5,,25.6,,
19,4,"19.4",27.1,,25.6,,
19,5,"19.5",31.6,,31.8,,
20,1,"20.1",9.1,,13.5,,
20,2,"20.2",15.4,,20.3,,
20,3,"20.3",24.1,,30.1,,
20,4,"20.4",28.7,,33.1,,
20,5,"20.5",32.8,,36.5,,
21,1,"21.1",9.5,,"NA",,
21,2,"21.2",14.8,,18.9,,
21,3,"21.3",23.5,,23.4,,
21,4,"21.4",26.7,,27.1,,
21,5,"21.5",28.9,,30.4,,
22,1,"22.1",12.4,,17.8,,
22,2,"22.2",25.5,,31.7,,
22,3,"22.3",30.6,,38.4,,
22,4,"22.4",40.7,,44.5,,
22,5,"22.5",49.3,,50.5,,
23,1,"23.1",11.3,,16.5,,
23,2,"23.2",16.6,,20.3,,
23,3,"23.3",21.5,,24.6,,
23,4,"23.4",26.5,,30.3,,
23,5,"23.5",33.5,,34.9,,
24,1,"24.1",11.4,,15.2,,
24,2,"24.2",19.1,,22.4,,
24,3,"24.3",26,,29.8,,
24,4,"24.4",26.1,,39.3,,
24,5,"24.5",32.1,,36.2,,
25,1,"25.1",15.6,,24.1,,
25,2,"25.2",33.4,,31.2,,
25,3,"25.3",32.8,,29.9,,
25,4,"25.4",38.7,,44.6,,
25,5,"25.5",46.4,,39.2,,
26,1,"26.1",9.5,,14.1,,
26,2,"26.2",15.1,,20.4,,
26,3,"26.3",22.3,,25.8,,
26,4,"26.4",27.5,,29.3,,
26,5,"26.5",31.2,,35.6,,
27,1,"27.1",6.5,,10.1,,
27,2,"27.2",13.2,,17,,
27,3,"27.3",17.6,,22.4,,
27,4,"27.4",29.4,,32.7,,
27,5,"27.5",22.3,,25.1,,
28,1,"28.1",8.1,,13.2,,
28,2,"28.2",14.2,,20.5,,
28,3,"28.3",20.3,,24.2,,
28,4,"28.4",25.2,,27.1,,
28,5,"28.5",29.3,,31.6,,
29,1,"29.1",6.4,,6.8,,
29,2,"29.2",10.5,,12.2,,
29,3,"29.3",15.1,,17.6,,
29,4,"29.4",25.5,,29.3,,
29,5,"29.5",21.5,,22.2,,
30,1,"30.1",9,,10.5,,
30,2,"30.2",16.5,,18.4,,
30,3,"30.3",24.5,,27.3,,"#broke"
30,4,"30.4",31.2,,11.5,,
30,5,"30.5",33.6,,37.1,,
31,1,"31.1",8.5,,9.2,,
31,2,"31.2",12.4,,14.8,,
31,3,"31.3",16,,20.1,,
31,4,"31.4",21.1,,23.2,,
31,5,"31.5",24,,26.2,,
32,1,"32.1",30,,34.5,,
32,2,"32.2",35,,35.2,,
32,3,"32.3",14,,30.3,,
32,4,"32.4",24,,28.1,,
32,5,"32.5",12,,19.8,,
33,1,"33.1",7,,11.2,,
33,2,"33.2",13.5,,18.6,,
33,3,"33.3",22.5,,24.5,,
33,4,"33.4",13.1,,23.1,,
33,5,"33.5",39.1,,31.1,,
34,1,"34.1",7.2,,15.6,,
34,2,"34.2",10.2,,20.1,,
34,3,"34.3",20.3,,24.5,,
34,4,"34.4",31.2,,22.6,,
34,5,"34.5",26.5,,30.4,,
35,1,"35.1",9.5,,13.3,,
35,2,"35.2",5.3,,20.5,,
35,3,"35.3",20.4,,34.1,,
35,4,"35.4",38.6,,39.3,,
35,5,"35.5",34.3,,38.2,,
36,1,"36.1",3.4,,6.2,,
36,2,"36.2",10,,11.7,,
36,3,"36.3",15.1,,16.4,,
36,4,"36.4",18.2,,21.5,,
36,5,"36.5",23,,26,,
37,1,"37.1",13.1,,19.5,,
37,2,"37.2",20.4,,27.1,,
37,3,"37.3",29.3,,26.1,,
37,4,"37.4",27.3,,42.4,,
37,5,"37.5",35.5,,39.6,,
38,1,"38.1",10.1,,11.4,,
38,2,"38.2",14.6,,15.6,,
38,3,"38.3",18.7,,19.1,,
38,4,"38.4",24.7,,26.7,,
38,5,"38.5",22,,23,,
39,1,"39.1",23.3,,"NA",,
39,2,"39.2",30.2,,"NA",,
39,3,"39.3",39.5,,"NA",,
39,4,"39.4",15.8,,"NA",,
39,5,"39.5",6.4,,"NA",,
40,1,"40.1",9.5,,15.7,,
40,2,"40.2",6.3,,21.3,,
40,3,"40.3",24.5,,26.2,,
40,4,"40.4",33.4,,35.1,,
40,5,"40.5",30.4,,33.8,,
