"predator","predator sp.","Predator size","Prey","prey size","Trial Started","Trial stopped","Eaten or not #1 = eaten","Comments"
,"Leptagrion andromache",13,"1 Tipulid",,28/04/11,30/04/11,1,
,"Leptagrion andromache",14,"1 Tipulid",,28/04/11,30/04/11,1,
,"Leptagrion andromache",16,"1 Chironomus detriticula",,28/04/11,30/04/11,1,
,"Leptagrion andromache",9,"1 Polypedilum 1",,28/04/11,30/04/11,1,
,"Leptagrion andromache",10,"1 Polypedilum 1",,28/04/11,30/04/11,1,
,"Leptagrion andromache",11,"1 Polypedilum 2",,28/04/11,30/04/11,1,
,"Leptagrion andromache",13,"1 Polypedilum 2",,28/04/11,30/04/11,1,
,"Green Tabanid",29,"1 psychodid ",,28/04/11,30/04/11,1,"# from eu 38"
,"Green Tabanid",16,"1 psychodid ",,28/04/11,30/04/11,0,
,"Green Tabanid",16,"1 psychodid ",,28/04/11,30/04/11,0,
,"Green Tabanid",25,"1 psychodid ",,28/04/11,30/04/11,0,
,"Leptagrion elongatum ",15,"Leptagrion elongatum",7,28/04/11,01/05/11,0,
,"Leptagrion elongatum ",18,"Leptagrion elongatum ",7,28/04/11,01/05/11,1,
,"Leptagrion elongatum ",15,"Leptagrion elongatum ",7,28/04/11,01/05/11,1,
,"Leptagrion elongatum ",9,"Leptagrion elongatum ",9,28/04/11,01/05/11,0,
,"Leptagrion elongatum ",9,"Leptagrion elongatum ",9,28/04/11,01/05/11,0,
,"Leptagrion elongatum ",9,"Leptagrion elongatum ",7,28/04/11,01/05/11,0,
,"Leptagrion elongatum ",9,"Leptagrion elongatum ",10,28/04/11,01/05/11,0,
,"Leptagrion elongatum ",9.5,"Leptagrion elongatum ",12,28/04/11,01/05/11,0,
,"1 Leech ",18,"1 Culex",,28/04/11,30/04/11,0,
,"1 Leech ",17,"1 Culex",,28/04/11,30/04/11,0,
,"1 Leech ",12,"1 Culex",,28/04/11,30/04/11,0,
,"1 Leech ",15,"1 Culex",,28/04/11,30/04/11,0,
,"1 Leech ",15,"1 Culex",,28/04/11,30/04/11,0,
,"1 Leech ",16,"1 Culex",,28/04/11,30/04/11,1,
,"red tabanid",13,"tipulid",,29/04/11,01/05/11,1,"#couldn't find"
,"green Tabanid",24,"tipulid",,29/04/11,01/05/11,1,"#couldn't find"
,"green Tabanid",21,"tipulid",,29/04/11,01/05/11,1,"#couldn't find"
,"red tabanid",25,"tipulid",,29/04/11,01/05/11,0,
,"green Tabanid",19,"tipulid",,29/04/11,01/05/11,1,"# 'force fed'"
,"green Tabanid",17,"tipulid",,29/04/11,01/05/11,1,
,"white tabanid",23,"tipulid",,29/04/11,01/05/11,1,
,"green Tabanid",15,"scirtid A",,29/04/11,01/05/11,0,
,"green Tabanid",15,"scirtid A",,29/04/11,01/05/11,0,
,"green Tabanid",21,"scirtid A",,29/04/11,01/05/11,0,
,"green Tabanid",24,"scirtid A",,29/04/11,01/05/11,0,
,"green Tabanid",20,"scirtid A",,29/04/11,01/05/11,1,"# was the biggest"
,"leech",9,"tipulid",,29/04/11,01/05/11,1,"# leech dead; prey dead with damage"
,"leech",14,"tipulid",,29/04/11,01/05/11,1,"# dead with damage"
,"leech",15,"tipulid",,29/04/11,01/05/11,1,"# dead with damage"
,"leech",16,"tipulid",,29/04/11,01/05/11,1,"# dead with damage"
,"leech",11,"tipulid",,29/04/11,01/05/11,1,"# dead with body intact"
,"leech",15,"tipulid",,29/04/11,01/05/11,1,"# dead with body intact"
,"leech",15,"scirtid A",,29/04/11,01/05/11,0,
,"leech",15,"scirtid A",,29/04/11,01/05/11,0,
,"leech",14,"scirtid A",,29/04/11,01/05/11,1,
,"leech",15,"scirtid A",,29/04/11,01/05/11,1,
,"leech",15,"scirtid A",,29/04/11,01/05/11,1,
,"leech",15,"scirtid A",,29/04/11,01/05/11,1,
,"tabanid",24,"Polypedilum 2",,29/04/11,01/05/11,1,
,"tabanid",15,"Polypedilum 2",,29/04/11,01/05/11,1,
,"tabanid",21,"Polypedilum 2",,29/04/11,01/05/11,0,
,"tabanid",20,"Polypedilum 2",,29/04/11,01/05/11,1,
,"tabanid",13,"Polypedilum 2",,29/04/11,01/05/11,1,
"TQ","tabanid",,"1 Chironomus detriticula",,29/04/11,01/05/11,1,
"TT","tabanid",,"1 Chironomus detriticula",,29/04/11,01/05/11,1,
"TP","tabanid",,"1 Chironomus detriticula",,29/04/11,01/05/11,1,
"TO","tabanid",,"1 Chironomus detriticula",,29/04/11,01/05/11,1,"# chiro dead"
"TR","tabanid",,"1 Chironomus detriticula",,29/04/11,01/05/11,0,
217,"leptagrion elongatum",,"ostracod",,29/04/11,01/05/11,1,"# 2 of 4 found"
211,"leptagrion elongatum",,"ostracod",,29/04/11,01/05/11,0,"# 4 found"
215,"leptagrion elongatum",,"ostracod",,29/04/11,01/05/11,0,"# 5 found"
38,"leptagrion elongatum",,"ostracod",,29/04/11,01/05/11,0,"# 4 found"
70,"leptagrion elongatum",,"ostracod",,29/04/11,01/05/11,0,"# 4 found"
